QIIME_ID	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species	Sub_Species	Confidence	trophic_mode
c81e2f4ac778623df609c9059aed1bfc	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Chlorellales	Chlorellales_X	Oocystis	NA	NA	0.7819705	Phototroph
79e3af763702d17b99a12e2be09f0b9d	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_Clade-EC2H	Chrysophyceae_Clade-EC2H_X	Chrysophyceae_Clade-EC2H_XX	Chrysophyceae_Clade-EC2H_XX_sp.		0.8514522	Phototroph
4172d9bdf3c13962f0e9c83160724b5d	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Ochromonadales	Ochromonadales_clade-XI	Ochromonadales_clade-XI_X	Ochromonadales_clade-XI_X_sp.		0.9999994	Phototroph
35d856329b3cb0cbcad46ff84fe0d645	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Cryptophyceae-Basal-1	Cryptophyceae-Basal-1_X	Cryptophyceae-Basal-1_XX	Cryptophyceae-Basal-1_XX_sp.		1.0000000	Heterotroph
d0986debd69e416f07d8df81f7f447e5	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Thaumatomastigidae	Thaumatomastigidae_sp.		0.9997939	Mixotroph
37f4b131464ba3403b1272a0057958fa	Eukaryota	Obazoa	Opisthokonta	Fungi	Fungi_X	Fungi_XX	Fungi_XXX	Fungi_XXXX	Fungi_XXXX_sp.		0.8113540	Mixotroph
1b138d17f1db9c9e44fdf657519b3f57	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydopodium	Chlamydopodium_starrii		0.8959998	Phototroph
685c15c17f61a66c497fd5dec687af64	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Cryptomonas	NA	NA	0.7352473	Heterotroph
46548a7cc9e5bbfa318fffa0d05edb84	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chromulinales	Chromulinaceae	Chromulinospumella	Chromulinospumella_sphaerica		0.9999916	Phototroph
1521457840b4f9646c08a55986f0463c	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Mychonastes	NA	NA	0.8073179	Phototroph
191075fdeac05c73c85343d67ab6c847	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora	Amphora_pediculus		0.9951738	Phototroph
ae86c2257c4dd0e6d71b3bfb58625c28	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_env_clade-I	Chrysophyceae_env_clade-I_X	Chrysophyceae_env_clade-I_XX	Chrysophyceae_env_clade-I_XX_sp.		0.8401405	Phototroph
6caac4fd0e4674c6f1fc47d3c3d6ab9c	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.		0.9999979	Mixotroph
1d4da97045a6afd3766909bbf31749cd	Eukaryota	TSAR	Alveolata	Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Rimostrombidium	Rimostrombidium_sp.		0.9999982	Mixotroph
34eff0caba1f67785451db64bb286b16	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	NA	0.8469802	Phototroph
486c8d0c1a701545a63da936680af935	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Taphrinomycotina	Taphrinomycetes	Taphrina	NA	NA	0.9983997	Mixotroph
a9424b81153485ec9d86a2c5436fcff4	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma	Rhogostoma_kyoshii		0.9943761	Mixotroph
90a68b04e0a553f48606a6d870e7f4a2	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastigaceae-AB	Crustomastigaceae-AB_sp.		0.9999998	Phototroph
bd3c0753cf365ecee8aaed2a405979a6	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	NA	NA	NA	0.7564866	Mixotroph
1c182daf4fa6b55bf3bb53f5a318cfea	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Paraphysomonadales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas_sp.		0.7074325	Phototroph
adf7beea5dc11fa9a1450f50a70424ab	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Ochromonadales	Ochromonadales_clade-X	Ochromonadales_clade-X_X	Ochromonadales_clade-X_X_sp.		0.9999995	Phototroph
2aa393ad86850775b4ab10053dbe9c81	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9965413	Mixotroph
876cf4eb1c6289d73af878722948ad09	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Paraphysomonadales	Paraphysomonadales_X	Paraphysomonadales_XX	Paraphysomonadales_XX_sp.		0.9999994	Phototroph
98cc26a45b45f7f00ad4b6f83eef4e11	Eukaryota	Cryptista	Kathablepharidacea	Kathablepharida	Kathablepharidea	Kathablepharidida	Kathablepharidida_X	Kathablepharidida_XX	Kathablepharidida_XX_sp.		0.9999818	Mixotroph
7a5341d6a91b72f8687a7816fa529771	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Paraphysomonadales	Lepidochromonadaceae	Lepidochromonas	Lepidochromonas_sp.		0.9835337	Phototroph
